City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,laascaanood,8.4774,47.3597,26.87,37,54,1.08,SO,1702314539
330,kalabo,-14.97,22.6814,26.22,50,100,0.5,ZM,1702314539
331,alliance,40.9153,-81.1059,0.78,80,69,6.5,US,1702314306
332,lompoc,34.6391,-120.4579,18.85,62,0,4.47,US,1702314539
333,lamu,-2.2717,40.902,27.12,86,68,4.58,KE,1702314465
334,argo,37.6333,22.7333,12.63,78,22,0.34,GR,1702314540
335,tazovsky,67.4667,78.7,-26.0,96,100,3.81,RU,1702314540
336,tralee,52.2704,-9.7026,10.14,93,75,3.6,IE,1702314372
337,inzhavino,52.3185,42.4937,-6.98,69,100,9.4,RU,1702314540
338,tsetserleg,47.475,101.4542,-22.69,97,72,0.23,MN,1702314540
339,marquette,46.5333,-87.6335,-3.15,79,43,4.47,US,1702314540
340,semporna,4.4818,118.6112,26.07,89,12,3.78,MY,1702314497
341,mandera,3.9366,41.867,32.62,33,93,2.72,KE,1702314541
342,kone,-21.0595,164.8658,22.27,76,95,1.46,NC,1702314410
343,changji,44.0167,87.3167,-8.56,86,100,1.0,CN,1702314541
344,maues,-3.3836,-57.7186,28.13,82,100,1.28,BR,1702314400
345,puerto san jose,13.9256,-90.8244,29.86,54,5,2.1,GT,1702314541
346,howard springs,-12.497,131.047,25.95,96,42,1.79,AU,1702314541
347,ikalamavony,-21.15,46.5833,25.93,62,77,2.97,MG,1702314542
348,trinidad,-14.8333,-64.9,35.3,46,98,0.65,BO,1702314542
349,umm ruwaba,12.9061,31.2158,28.41,10,72,4.39,SD,1702314542
350,thinadhoo,0.5333,72.9333,27.86,77,14,2.51,MV,1702314543
351,tura,25.5198,90.2201,15.59,85,0,1.47,IN,1702314543
352,sena madureira,-9.0656,-68.6569,37.57,34,97,1.43,BR,1702314543
353,shenjiamen,29.9576,122.298,9.96,78,94,10.35,CN,1702314543
354,chui,-33.6971,-53.4616,23.35,62,7,5.36,UY,1702314544
355,lemvig,56.5486,8.3102,2.33,97,100,7.05,DK,1702314544
356,cidreira,-30.1811,-50.2056,23.15,72,15,5.54,BR,1702314544
357,olyokminsk,60.3736,120.4264,-28.19,96,100,1.95,RU,1702314545
358,vostochnyy,55.8167,37.8667,-6.61,93,100,6.42,RU,1702314545
359,masterton,-40.9597,175.6575,11.6,91,63,1.66,NZ,1702314546
